itemCollection_loot_SpareParts,Mech Spare Parts,Mech Spare Parts,
Weapon_Autocannon_AC2_0-STOCK,Weapon,1,1
Ammo_AmmunitionBox_Generic_AC2,AmmunitionBox,1,1
Weapon_Autocannon_AC5_0-STOCK,Weapon,1,10000
Ammo_AmmunitionBox_Generic_AC5,AmmunitionBox,1,1
Ammo_AmmunitionBox_Generic_LRM,AmmunitionBox,1,1
Weapon_MachineGun_MachineGun_0-STOCK,Weapon,4,1
Ammo_AmmunitionBox_Generic_MG,AmmunitionBox,1,1
Ammo_AmmunitionBox_Generic_SRM,AmmunitionBox,1,1
Gear_HeatSink_Generic_Standard,HeatSink,6,1
Gear_JumpJet_Generic_Standard,JumpJet,6,1
emod_arm_part_hand,Upgrade,8,1
emod_arm_part_lower,Upgrade,8,1
Weapon_SRM_SRM2_BA_OS,Weapon,8,1
Weapon_Laser_SmallLaser_BA,Weapon,8,1
Weapon_MachineGun_MachineGun_BA,Weapon,8,1
Weapon_SRM_SRM4_BA_OS,Weapon,8,1
Weapon_PPC_Support_BA,Weapon,8,1
Gear_BA_Handholds,Upgrade,6,1
BTA_Beacons,Reference,2,1
PFT_Sanctuary_Energy_Large,Reference,1,1
PFT_Sanctuary_Energy_Medium,Reference,1,1
PFT_Sanctuary_Upgrade,Reference,1,1
PFT_Sanctuary_Armor,Reference,2,1
PFT_Sanctuary_Energy_Small,Reference,2,1
Ammo_AmmunitionBox_Generic_Chem_PPC,AmmunitionBox,3,1
Weapon_PPC_Chemical_0-STOCK,Weapon,2,1
